raw_statement,speaker,party,role,source_name,source_url,source_note,publication_date,collected_at,topic,processed
Government unveils €6.5m social housing package,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,,unknown,2026-04-16 13:38 UTC,rss,done
The Tourism Accommodation Regulations 2026 introduce a ban on new hotel developments or extensions that exceed height limits set in planning policies,Ian Borg,PL,Deputy Prime Minister,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,,2026-04-16,2026-04-16 13:54 UTC,rss,done
The Tourism Accommodation Regulations 2026 introduce stricter rules across the short-term rental sector,Ian Borg,PL,Deputy Prime Minister,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,,2026-04-16,2026-04-16 13:54 UTC,rss,done
Malta ranks among the top three EU countries for the percentage of businesses affected by cyber incidents.,unknown,unknown,,Lovin Malta,https://lovinmalta.com/sponsored/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,,2026-04-16,2026-04-16 13:54 UTC,rss,done
28.7% of Maltese enterprises reported a cyber incident in 2023,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,,2026-04-16,2026-04-16 13:54 UTC,rss,done
EU average of cyber incidents is 21.5% in 2023,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,,2026-04-16,2026-04-16 13:54 UTC,rss,done
Malta ranks among the top three EU countries for the percentage of businesses affected by cyber incidents,unknown,unknown,,Lovin Malta,https://lovinmalta.com/sponsored/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,,2026-04-16,2026-04-16 13:57 UTC,rss,done
"The Tourism Accommodation Regulations 2026 introduce stricter rules across the sector, including a ban on new hotel developments or extensions that exceed height limits set in planning policies",Ian Borg,PL,Deputy Prime Minister,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,,2026-04-16,2026-04-16 13:57 UTC,rss,done
EU average of cyber incidents was 21.5% in 2023,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/gasanmamo-launches-comprehensive-cyber-insurance-for-maltese-businesses/,,2026-04-16,2026-04-16 13:57 UTC,rss,done
New regulations introduce a ban on new hotel developments or extensions that exceed height limits set in planning policies,unknown,unknown,,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,,2026-04-16,2026-04-16 13:59 UTC,rss,done
The Tourism Accommodation Regulations 2026 introduce stricter rules across the sector for hotels and short-term rentals,unknown,unknown,,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,,2026-04-16,2026-04-16 13:59 UTC,rss,done
Government has unveiled a €6.5m social housing package,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,,2026-04-16,2026-04-16 13:59 UTC,rss,done
Three new schemes aimed at making housing more affordable have been announced,unknown,unknown,,Newsbook,https://newsbook.com.mt/en/government-unveils-e6-5m-social-housing-package-amid-rising-property-prices/,,2026-04-16,2026-04-16 13:59 UTC,rss,done
